model,displ,cyl,trans,drive,fuel,veh_class,smog_rating,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5,29,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5,30,40,34,8,Yes
TOYOTA Corolla iM,1.8,4.0,Man-6,2WD,Gasoline,midsize car,5,27,35,30,7,Yes
TOYOTA Corolla iM,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,5,28,36,31,7,Yes
TOYOTA Prius,1.8,4.0,CVT,2WD,Gasoline,midsize car,7,54,50,52,10,Elite
TOYOTA Prius Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,7,58,53,56,10,Elite
TOYOTA Prius Prime,1.8,4.0,CVT,2WD,Gasoline/Electricity,midsize car,7,55/145,53/121,54/133,10,Elite
TOYOTA Prius c,1.5,4.0,CVT,2WD,Gasoline,small car,7,48,43,46,10,Elite
TOYOTA RAV4 Hybrid,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7,34,30,32,7,Yes
TOYOTA Yaris,1.5,4.0,Auto-4,2WD,Gasoline,small car,3,30,35,32,7,Yes
TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,3,30,36,33,8,Yes
TOYOTA Yaris iA,1.5,4.0,Man-6,2WD,Gasoline,small car,3,30,39,34,8,Yes
TOYOTA Yaris iA,1.5,4.0,SemiAuto-6,2WD,Gasoline,small car,3,32,40,35,8,Yes
VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3,28,40,33,8,Yes
VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5,28,38,32,7,Yes
VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,midsize car,7,26/70,33/72,29/71,10,Elite
VOLVO XC60,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small SUV,7,26/60,28/58,26/59,10,Elite
VOLVO XC90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,7,26/63,30/61,27/62,10,Elite
