Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
DODGE Caliber,2.4,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8CRXB02.4ME0,midsize car,6,21,25,23,7,yes
DODGE Caliber,2.4,(4 cyl),Auto-AV,2WD,Gasoline,CA,L2,8CRXB02.4ME0,midsize car,6,21,25,23,7,yes
DODGE Charger,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8CRXV0215M80,large car,7,17,24,20,6,yes
DODGE Charger,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0215M80,large car,7,17,24,20,6,yes
DODGE Magnum,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8CRXV0215M80,SUV,7,17,24,20,6,yes
DODGE Magnum,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0215M80,SUV,7,17,24,20,6,yes
FORD Escape,2.3,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8FMXT02.31EF,SUV,7,22,28,24,7,yes
FORD Escape,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8FMXT02.31EF,SUV,6,22,28,24,7,yes
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8FMXT02.32ZE,SUV,9.5,34,30,32,9,yes
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,CA,S2,8FMXT02.32ZE,SUV,9.5,29,27,28,8,yes
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,FA,B3,8FMXT02.32ZE,SUV,8,34,30,32,9,yes
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,FA,B3,8FMXT02.32ZE,SUV,8,29,27,28,8,yes
FORD Focus,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,S2,8FMXV02.0VZP,small car,9.5,24,33,28,8,yes
FORD Focus,2,(4 cyl),Man-5,2WD,Gasoline,CA,S2,8FMXV02.0VZP,small car,9.5,24,35,28,8,yes
FORD Focus,2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B3,8FMXV02.0VZP,small car,8,24,33,28,8,yes
FORD Focus,2,(4 cyl),Man-5,2WD,Gasoline,FA,B3,8FMXV02.0VZP,small car,8,24,35,28,8,yes
FORD Focus,2,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8FMXV02.0VD4,small car,7,24,33,28,8,yes
FORD Focus,2,(4 cyl),Man-5,2WD,Gasoline,FC,B4,8FMXV02.0VD4,small car,7,24,35,28,8,yes
FORD Fusion,2.3,(4 cyl),Auto-L5,2WD,Gasoline,CA,S2,8FMXV02.3VZT,midsize car,9.5,20,28,23,7,yes
FORD Fusion,3,(6 cyl),Auto-L6,4WD,Gasoline,CA,U2,8FMXV03.0VEK,midsize car,7,17,25,20,6,yes
FORD Fusion,3,(6 cyl),Auto-L6,2WD,Gasoline,CA,U2,8FMXV03.0VEK,midsize car,7,18,26,21,6,yes
FORD Fusion,2.3,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8FMXV02.3VEU,midsize car,6,20,28,23,7,yes
FORD Fusion,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8FMXV02.3VEU,midsize car,6,20,29,23,7,yes
FORD Mustang,4,(6 cyl),Man-5,2WD,Gasoline,CA,U2,8FMXV04.0VER,small car,7,17,26,20,6,yes
FORD Ranger,2.3,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8FMXT02.31BA,pickup,7,19,24,21,6,yes
FORD Ranger,2.3,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8FMXT02.31BA,pickup,7,21,26,23,7,yes
FORD Ranger,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8FMXT02.31EL,pickup,6,21,26,23,7,yes
FORD Taurus,3.5,(6 cyl),Auto-L6,2WD,Gasoline,CA,S2,8FMXV03.51ZL,large car,9.5,18,28,22,6,yes
